"","Start date","End date","Year","Country name","Location","Latitude","Longitude","Magnitude value","Disaster Type","Disaster subtype","Associated dis.","Total deaths","Total affected","Total damage ('000 US$)","Insured losses ('000 US$)","Disaster No.","RainFall","Temp"
"377","10-8-2011","13-9-2011",2011,"India","West Bengal province",22306,88.34,28684,"Flood","Riverine flood","--",47,700000,2150000,NA,"2011-0327",186.507,29.2624
"378","23-9-2011","23-10-2011",2011,"India","Angul, Baleshwar, Baragarh, Bhadrak, Boudh, Cuttack, Deogarh, Dhenkanal, Jajpur, Jagatsinghpur, Jharsuguda, Kendrapara, Khordha, Mayurbhanj, Nayagarh, Nuapada, Puri, Sambalpur districts (Orissa province)",20651,86,27751,"Flood","Riverine flood","--",239,3443989,117000,NA,"2011-0371",39.8495,26.9377
"379","5-9-2011","15-9-2011",2011,"India","Orissa province",NA,NA,6530,"Flood","Riverine flood","--",42,2100000,2000,NA,"2011-0473",186.507,26.923
"380","15-6-2011","16-7-2011",2011,"India","Uttar Pradesh, Uttarakhand province",NA,NA,4470,"Flood","Riverine flood","--",50,8,275000,NA,"2011-0647",231.939,27.1127
"381","4-8-2012","9-8-2012",2012,"India","Palchan village (Kullu district, Himachal Pradesh province), Uttarkashi, Rudra Prayag, Chamoli districts (Uttarakhand province), Moradabad district (Uttar Pradesh province), Kathua village (72780 district, Jammu and Kashmir province)",301135,78.85,31390,"Flood","Riverine flood","Slide (land, mud, snow, rock)",30,1200,220000,NA,"2012-0334",263.938,26.8333
"382","16-9-2012","18-9-2012",2012,"India","Rudra Prayag, Bageshwar districts (Uttarakhand province)",31.3,76.85,37710,"Flood","Riverine flood","Slide (land, mud, snow, rock)",45,200,22000,NA,"2012-0354",223.025,28.6156
"383","19-9-2012","23-9-2012",2012,"India","Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Lakhimpur, Marigaon, Nagaon, Nalbari, Papum Pare, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Bhagalpur, Darbhanga, Katihar, Khagaria, Muzaffarpur, Patna, Siwan, Supaul districts (Bihar province), Sahibganj district (Jharkhand province), North Sikkim district (Sikkim province), Ballia, Bara Banki, Faizabad districts (Uttar Pradesh province), Murshidabad district (West Bengal province), West Siang, East Siang, Lohit, Papum Pare districts (Arunachal Pradesh province)",26.8,93.63,42597,"Flood","Riverine flood","Slide (land, mud, snow, rock)",21,2000000,123000,NA,"2012-0382",223.025,26.552
"384","21-8-2012","23-8-2012",2012,"India","Himachel Pradesh province",NA,NA,6530,"Flood","Riverine flood","Slide (land, mud, snow, rock)",26,9460,43000,NA,"2012-0584",263.938,26.5004
"385","12-6-2013","27-6-2013",2013,"India","Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",32714,76.61,131743.41,"Flood","Riverine flood","Slide (land, mud, snow, rock)",6054,504473,250000,500000,"2013-0192",223.61,24.704
"386","9-7-2013","10-7-2013",2013,"India","Sultanpur, Sitapur, Rae Bareli, Bara Banki, Faizabad, Gorakhpur, Basti, Kushinagar, Bahraich, Gonda, Shravasti districts (Uttar Pradesh province)",NA,NA,27751,"Flood","Riverine flood","--",174,500000,2000,NA,"2013-0260",312.555,26.4681
"387","21-10-2013","26-10-2013",2013,"India","Orissa, Andhra Pradesh, West Bengal provinces",NA,NA,70517.68,"Flood","Riverine flood","--",72,375000,500,NA,"2013-0400",231.296,30.3993
"388","26-6-2014","28-6-2014",2014,"India","Assam province",NA,NA,49220,"Flood","Riverine flood","Slide (land, mud, snow, rock)",27,18500,2400,NA,"2014-0218",86.6274,25.8498
"389","3-8-2014","4-8-2014",2014,"India","Orissa province",NA,NA,105100,"Flood","Riverine flood","--",35,179000,3390000,NA,"2014-0313",197.886,26.0153
