nameAR	nameEN	altName	latitude	longitude	population	place	id
توندي			20.2935364	30.5738615		village	node/2045158940
	Unknown		20.2561875	30.5723321		village	node/2045158966
	Unknown		20.3226235	30.5379815		village	node/2045159085
	Unknown		20.3420619	30.5195112		village	node/2045159094
	Unknown		20.4106642	30.3503878		village	node/2045159096
الحفير	Hafir		19.5935138	30.3641262		village	node/2045245603
	Koya		20.340739	30.3872513		village	node/2045308555
تمبس	Tumbus	Toumbous	19.7105982	30.3966945		village	node/2045308599
كجبار	Kagbar		19.9451844	30.5310713		village	node/2046694684
دفوي	Defoi		19.9468334	30.4552003		village	node/2046719657
قرقود	Gorgod		20.1590864	30.5482636		village	node/2046794370
حميد	Hamid		20.6459944	30.2981027		village	node/2046794371
كوكا	Koka		20.0379169	30.5754594		village	node/2046794552
سيسة	Sese		20.1234552	30.548278		village	node/2046794594
مركول تبج			19.9519791	30.3320215		village	node/2047277627
طوكر	Tokar	Tawkar,Токар	18.4303582	37.7339322		town	node/2050431482
ود مزمل	Wad Muzammil		14.2642892	36.539718		town	node/2050780659
	Akasha		21.0829565	30.7084659		village	node/2052101195
جبل اولياء	Jebel Aulia		15.244386	32.509082		town	node/2056566800
واحة سليمة	Oasis Salima		21.3685578	29.3158018		locality	node/2072860266
دندرو	Dindiro		11.4676512	34.1684771		village	node/2075327576
	Baluul		11.6618225	29.2455211		village	node/2076077875
	Mariyam		11.6644273	29.2205703		village	node/2076077894
	Thuma		11.6830931	29.2215668		village	node/2076078101
	As Salamat		12.5951254	30.3506592		town	node/2082551486
توداج		"NA"	9.7347526	28.473029		village	node/2082554596
	Al Thawra 5		15.6814486	32.4885406		neighbourhood	node/2084480909
	Meriam	"NA"	10.1464796	27.689925		town	node/2090839794
	War Guit		9.8239705	27.5220694		village	node/2090866452
أم دخن	Um Dukhan		11.1381512	22.9640183		town	node/2096690140
	Murnei		12.9497506	22.8729194		town	node/2104175124
الكلاكلة القبة			15.4697065	32.4687914		town	node/2105691425
	Ghaliya		15.8040012	32.4114167		suburb	node/2107205846
	Al Busta South	"NA"	15.6435489	32.4809834		suburb	node/2107828778
	Arda North	"NA"	15.6449246	32.4731657		suburb	node/2107828779
المناقل	Al Managil	al Manaqil,Al Manaqil,Эль-Менакил	14.2467437	32.9858537	128000	city	node/2116631186
	Saraf `Umrah	"NA"	13.4729593	23.3035085		town	node/2126487382
	Jeref East		15.5829481	32.5980618		suburb	node/2137581851
	Heiban		11.2158464	30.5117104		town	node/2144606237
	Dallami	"NA"	11.861891	30.4683414		town	node/2145231896
أكوك	Agok	أكوك Agok	9.3494096	28.5804778		town	node/2146403255
	Habila		11.9507788	30.0198347		town	node/2146403256
تلودي	Talodi		10.6326436	30.3793795		city	node/2146406946
	Tungaru		10.2325366	30.6929286		town	node/2146406956
	Mafluh		10.7276236	30.3846823		village	node/2146809994
ام دبيكرات	Umm Dibekrat		12.8880549	32.3196553		village	node/2148161498
	Um Inderaba		15.1754859	31.8861753		village	node/2148335055
العباسية	Al ‘Abbāsiyya		12.1640649	31.3032428		town	node/2150777648
	Kalogi		10.8577778	30.9841667		town	node/2151753467
رشاد	Rashād		11.861856	31.049733		town	node/2151757926
كاودة	Kauda		11.0622146	30.5542787		town	node/2153191077
دفرا	Diffra	دفرا Diffra	10.0382462	28.3990591		village	node/2177423626
كلي	Goli	كلي Goli	9.833356	28.4795023		village	node/2177436762
الجزيرة	Al Jazirah	Al Jazirah الجزيرة,al-Dschazira	14.6671537	33.222361		state	node/2222526729
	Om Sarieh		18.8380344	32.2545277		village	node/2251317254
الحامداب الجديدة القرية 2			17.9347849	31.1840594		village	node/2261096995
الحامداب الجديدة القرية 3			17.9442847	31.124008		village	node/2261097271
امري الجديدة القرية 2			18.1301029	31.6830352		village	node/2261097452
امري الجديدة القرية 4			18.0299209	31.5624483		village	node/2261097885
امري الجديدة القرية 5			17.9940062	31.6462148		village	node/2261100928
امري الجديدة القرية 1 الادارية	القرية الادارية امري الجديدة		18.1697305	31.6457641		neighbourhood	node/2261100933
	Dam Workers Town		18.6454506	32.0586477		village	node/2261104081
الملتقى	el-Multaga		17.9729417	31.2288037		town	node/2261259233
	Gharama		11.5061811	29.0208678		village	node/2269573574
لقاوة	Al Lagowa		11.4026179	29.1266763		town	node/2269613906
	Jadidah		11.6444421	29.1048967		village	node/2271549231
	Abu Haraz		19.0611161	32.1611617		village	node/2278157126
	As Sultan		11.6217729	29.126985		village	node/2279511401
	Kaya		11.6703034	29.2503803		village	node/2281878551
	Kereeker		11.6799169	29.2531821		village	node/2281878552
	Kudaada		11.6715555	29.2201436		village	node/2281878553
اشو			19.7442793	30.3660535		village	node/2284860625
ساتي نصر			18.4808654	30.715912		neighbourhood	node/2284860658
	El Amarin		19.1631188	32.5612115		hamlet	node/2294339537
