nameEN	nameAR	altName	lat	lon	population	place	id
NA	مركول تبج		30.3320215	19.9519791	NA	village	node/2047277627
Tokar	طوكر	Tawkar,Токар	37.7339322	18.4303582	NA	town	node/2050431482
Wad Muzammil	ود مزمل		36.539718	14.2642892	NA	town	node/2050780659
Akasha	NA		30.7084659	21.0829565	NA	village	node/2052101195
Jebel Aulia	جبل اولياء		32.509082	15.244386	NA	town	node/2056566800
Oasis Salima	واحة سليمة		29.3158018	21.3685578	NA	locality	node/2072860266
Dindiro	دندرو		34.1684771	11.4676512	NA	village	node/2075327576
Baluul	NA		29.2455211	11.6618225	NA	village	node/2076077875
Mariyam	NA		29.2205703	11.6644273	NA	village	node/2076077894
Thuma	NA		29.2215668	11.6830931	NA	village	node/2076078101
As Salamat	NA		30.3506592	12.5951254	NA	town	node/2082551486
NA	توداج	NA	28.473029	9.7347526	NA	village	node/2082554596
Al Thawra 5	NA		32.4885406	15.6814486	NA	neighbourhood	node/2084480909
Meriam	NA	NA	27.689925	10.1464796	NA	town	node/2090839794
War Guit	NA		27.5220694	9.8239705	NA	village	node/2090866452
Um Dukhan	أم دخن		22.9640183	11.1381512	NA	town	node/2096690140
Murnei	NA		22.8729194	12.9497506	NA	town	node/2104175124
NA	الكلاكلة القبة		32.4687914	15.4697065	NA	town	node/2105691425
Ghaliya	NA		32.4114167	15.8040012	NA	suburb	node/2107205846
Al Busta South	NA	NA	32.4809834	15.6435489	NA	suburb	node/2107828778
Arda North	NA	NA	32.4731657	15.6449246	NA	suburb	node/2107828779
Al Managil	المناقل	al Manaqil,Al Manaqil,Эль-Менакил	32.9858537	14.2467437	128e3	city	node/2116631186
Saraf `Umrah	NA	NA	23.3035085	13.4729593	NA	town	node/2126487382
Jeref East	NA		32.5980618	15.5829481	NA	suburb	node/2137581851
Heiban	NA		30.5117104	11.2158464	NA	town	node/2144606237
Dallami	NA	NA	30.4683414	11.861891	NA	town	node/2145231896
Agok	أكوك	أكوك Agok	28.5804778	9.3494096	NA	town	node/2146403255
Habila	NA		30.0198347	11.9507788	NA	town	node/2146403256
Talodi	تلودي		30.3793795	10.6326436	NA	city	node/2146406946
Tungaru	NA		30.6929286	10.2325366	NA	town	node/2146406956
Mafluh	NA		30.3846823	10.7276236	NA	village	node/2146809994
Umm Dibekrat	ام دبيكرات		32.3196553	12.8880549	NA	village	node/2148161498
Um Inderaba	NA		31.8861753	15.1754859	NA	village	node/2148335055
Al ‘Abbāsiyya	العباسية		31.3032428	12.1640649	NA	town	node/2150777648
Kalogi	NA		30.9841667	10.8577778	NA	town	node/2151753467
Rashād	رشاد		31.049733	11.861856	NA	town	node/2151757926
Kauda	كاودة		30.5542787	11.0622146	NA	town	node/2153191077
Diffra	دفرا	دفرا Diffra	28.3990591	10.0382462	NA	village	node/2177423626
Goli	كلي	كلي Goli	28.4795023	9.833356	NA	village	node/2177436762
Al Jazirah	الجزيرة	Al Jazirah الجزيرة,al-Dschazira	33.222361	14.6671537	NA	state	node/2222526729
Om Sarieh	NA		32.2545277	18.8380344	NA	village	node/2251317254
NA	الحامداب الجديدة القرية 2		31.1840594	17.9347849	NA	village	node/2261096995
NA	الحامداب الجديدة القرية 3		31.124008	17.9442847	NA	village	node/2261097271
NA	امري الجديدة القرية 2		31.6830352	18.1301029	NA	village	node/2261097452
NA	امري الجديدة القرية 4		31.5624483	18.0299209	NA	village	node/2261097885
NA	امري الجديدة القرية 5		31.6462148	17.9940062	NA	village	node/2261100928
القرية الادارية امري الجديدة	امري الجديدة القرية 1 الادارية		31.6457641	18.1697305	NA	neighbourhood	node/2261100933
Dam Workers Town	NA		32.0586477	18.6454506	NA	village	node/2261104081
el-Multaga	الملتقى		31.2288037	17.9729417	NA	town	node/2261259233
Gharama	NA		29.0208678	11.5061811	NA	village	node/2269573574
Al Lagowa	لقاوة		29.1266763	11.4026179	NA	town	node/2269613906
Jadidah	NA		29.1048967	11.6444421	NA	village	node/2271549231
Abu Haraz	NA		32.1611617	19.0611161	NA	village	node/2278157126
As Sultan	NA		29.126985	11.6217729	NA	village	node/2279511401
Kaya	NA		29.2503803	11.6703034	NA	village	node/2281878551
Kereeker	NA		29.2531821	11.6799169	NA	village	node/2281878552
Kudaada	NA		29.2201436	11.6715555	NA	village	node/2281878553
NA	اشو		30.3660535	19.7442793	NA	village	node/2284860625
NA	ساتي نصر		30.715912	18.4808654	NA	neighbourhood	node/2284860658
El Amarin	NA		32.5612115	19.1631188	NA	hamlet	node/2294339537
El Kora	NA		32.6653712	19.1700405	NA	hamlet	node/2294339538
Umm Dueima	NA		32.6933482	19.2242657	NA	hamlet	node/2294339539
Umm Saiyal	NA		32.7070049	19.2764303	NA	hamlet	node/2294339540
El Heibah	NA		32.6896146	19.2103462	NA	hamlet	node/2294339541
El Heleiba	NA		32.6504876	19.1637554	NA	hamlet	node/2294339542
El Kab	NA		32.7156754	19.293413	NA	village	node/2294339543
