term	cat
international development	FOREIGN AID
international donor	FOREIGN AID
donor aid	FOREIGN AID
democracy assistance	FOREIGN AID
democracy promotion	FOREIGN AID
foreign assistance	FOREIGN AID
usaid	FOREIGN AID
meth	DRUGS
methamphetamine	DRUGS
cocaine	DRUGS
heroin	DRUGS
opium	DRUGS
lsd	DRUGS
temazepam	DRUGS
prescription drug abuse	DRUGS
illegal drug	DRUGS
narcotic	DRUGS
cannabis	DRUGS
angel dust	DRUGS
marijuana	DRUGS
reefer	DRUGS
opium	DRUGS
hallucinogen	DRUGS
hallucinogenic	DRUGS
hallucinogenics	DRUGS
selling drugs	DRUGS
illicit drug	DRUGS
illicit drugs	DRUGS
hashish	DRUGS
mdma	DRUGS
drug trade	DRUG TRADE
drug trafficking	DRUG TRADE
drug smuggling	DRUG TRADE
drug killings	DRUG TRADE
drug killing	DRUG TRADE
drug violence	DRUG TRADE
narco	DRUG TRADE
narcos	DRUG TRADE
narcotic trafficking	DRUG TRADE
drug pusher	DRUG TRADE
drug dealer	DRUG TRADE
drug cartel	DRUG TRADE
mafia	ORGANIZED CRIME
gang	ORGANIZED CRIME
mobster	ORGANIZED CRIME
organized crime	ORGANIZED CRIME
organised crime	ORGANIZED CRIME
alleged mafioso	ORGANIZED CRIME
racketeer	ORGANIZED CRIME
racketeering	ORGANIZED CRIME
robbery	COMMON ROBBERY
robbed	COMMON ROBBERY
burglary	COMMON ROBBERY
burglar	COMMON ROBBERY
pickpocket	COMMON ROBBERY
pickpocket	COMMON ROBBERY
pickpocket	COMMON ROBBERY
pick pocket	COMMON ROBBERY
pick pocket	COMMON ROBBERY
thief	COMMON ROBBERY
robber	COMMON ROBBERY
street crime	COMMON ROBBERY
street criminal	COMMON ROBBERY
extremist	ID EXTREMISM
extremism	ID EXTREMISM
radicalize	ID EXTREMISM
radicalization	ID EXTREMISM
extreme left	ID EXTREMISM
extreme right	ID EXTREMISM
radical	ID EXTREMISM
fanatical	ID EXTREMISM
fanaticism	ID EXTREMISM
far left	ID EXTREMISM
far right	ID EXTREMISM
farleft	ID EXTREMISM
farright	ID EXTREMISM
fringe element	ID EXTREMISM
nazi	ID EXTREMISM
neonazi	ID EXTREMISM
zealot	ID EXTREMISM
shortage	SHORTAGE
shortages	SHORTAGE
rationing	SHORTAGE
outages	SHORTAGE
blackouts	SHORTAGE
brownouts	SHORTAGE
