name	normalname	country	latitude	longitude	population
Esperanza	Esperanza	DO	19.58469	-70.98489	42169
Embarcación	Embarcación	AR	-23.21003	-64.09965	23961
Embalse	Embalse	AR	-32.18	-64.41809	15900
El Bolsón	El Bolsón	AR	-41.96051	-71.53336	15537
Diamante	Diamante	AR	-32.06641	-60.63837	19545
Deán Funes	Deán Funes	AR	-30.42036	-64.34984	20164
Cutral-Có	Cutral-Có	AR	-38.93424	-69.23052	47380
Cruz del Eje	Cruz del Eje	AR	-30.72644	-64.80387	28166
Crespo	Crespo	AR	-32.02873	-60.30658	18296
Cosquín	Cosquín	AR	-31.24508	-64.46563	19070
Coronel Suárez	Coronel Suárez	AR	-37.45467	-61.93343	27000
Coronda	Coronda	AR	-31.97263	-60.91983	16975
Córdoba	Córdoba	AR	-31.4135	-64.18105	1428214
Comodoro Rivadavia	Comodoro Rivadavia	AR	-45.86413	-67.49656	140850
Cipolletti	Cipolletti	AR	-38.93392	-67.99032	75078
Cinco Saltos	Cinco Saltos	AR	-38.82225	-68.06293	19819
Chivilcoy	Chivilcoy	AR	-34.89566	-60.01667	54514
Chimbas	Chimbas	AR	-31.48333	-68.53333	73829
Chilecito	Chilecito	AR	-29.16195	-67.4974	42248
Charata	Charata	AR	-27.21438	-61.18795	27813
Chacabuco	Chacabuco	AR	-34.64167	-60.47389	34587
Centenario	Centenario	AR	-38.82955	-68.1318	28956
Caucete	Caucete	AR	-31.65179	-68.28105	33609
Catriel	Catriel	AR	-37.87907	-67.7956	15169
Castelli	Castelli	AR	-25.94679	-60.61947	36588
Casilda	Casilda	AR	-33.04417	-61.16806	32002
Carcarañá	Carcarañá	AR	-32.85679	-61.15331	15619
Capitán Bermúdez	Capitán Bermúdez	AR	-32.82262	-60.71852	27060
Cañada de Gómez	Cañada de Gómez	AR	-32.81636	-61.39493	36000
Caleta Olivia	Caleta Olivia	AR	-46.43929	-67.52814	36077
Bell Ville	Bell Ville	AR	-32.62591	-62.68873	35105
Bella Vista	Bella Vista	DO	18.45539	-69.9454	175683
Bahía Blanca	Bahía Blanca	AR	-38.71959	-62.27243	276546
Arroyo Seco	Arroyo Seco	AR	-33.15489	-60.50863	20008
Arroyito	Arroyito	AR	-31.42022	-63.05002	19577
Añatuya	Añatuya	AR	-28.46064	-62.83472	20261
Alta Gracia	Alta Gracia	AR	-31.65292	-64.42826	40384
Allen	Allen	US	33.10317	-96.67055	84246
Alderetes	Alderetes	AR	-26.81667	-65.13333	38466
Albardón	Albardón	AR	-31.43722	-68.52556	20413
Aguilares	Aguilares	AR	-27.4338	-65.61427	32494
Villa Mercedes	Villa Mercedes	AR	-33.67571	-65.45783	96781
San Carlos de Bariloche	San Carlos de Bariloche	AR	-41.14557	-71.30822	95394
Pago Pago	Pago Pago	AS	-14.27806	-170.7025	11500
Wolfsberg	Wolfsberg	AT	46.84056	14.84417	25610
Wiener Neustadt	Wiener Neustadt	AT	47.8	16.25	38481
Vienna	Vienna	AT	48.20849	16.37208	1691468
Wels	Wels	AT	48.16667	14.03333	57946
Weinzierl bei Krems	Weinzierl bei Krems	AT	48.4	15.6	24092
Villach	Villach	AT	46.61028	13.85583	58882
Ternitz	Ternitz	AT	47.71565	16.03575	15153
Steyr	Steyr	AT	48.04274	14.42127	39566
Spittal an der Drau	Spittal an der Drau	AT	46.8	13.5	16363
Schwechat	Schwechat	AT	48.13333	16.46667	15711
Sankt Pölten	Sankt Pölten	AT	48.2	15.63333	49001
Salzburg	Salzburg	AT	47.79941	13.04399	150269
Saalfelden am Steinernen Meer	Saalfelden am Steinernen Meer	AT	47.42681	12.848	16119
Mödling	Mödling	AT	48.08605	16.28921	20710
Lustenau	Lustenau	AT	47.42642	9.65851	20218
Linz	Linz	AT	48.30639	14.28611	181162
Leonding	Leonding	AT	48.27965	14.2533	22736
Leoben	Leoben	AT	47.3765	15.09144	24809
Kufstein	Kufstein	AT	47.58333	12.16667	16115
Krems an der Donau	Krems an der Donau	AT	48.40921	15.61415	23932
Klosterneuburg	Klosterneuburg	AT	48.30521	16.32522	24843
